Ticker,Financial Year End,Total Revenue,COGS,SG&A Expenses,Net Income,Basic EPS,Depreciation,Operating Cash Flow (CFO),Dividends Paid,Total Assets,Current Assets,Receivables,PP&E,Total Long-Term Debt,Current Liabilities,Total Equity,Trailing P/E (Historical),Current Trailing P/E (Live),Current PEG Ratio (Live)
WELCORP.NS,2022-03-31,63291800000.0,48907700000.0,1057100000.0,4388100000.0,16.82,2547500000.0,2184700000.0,1302700000.0,91688800000.0,43162100000.0,8125600000.0,34126600000.0,10270100000.0,29558800000.0,44283200000.0,,9.685481,
WELCORP.NS,2021-03-31,,,,,,,,,,,,,,,,,9.685481,
WELSPUNLIV.NS,2021-03-31,,,,,,,,,,,,,,,,,37.00539,
WELSPUNLIV.NS,2022-03-31,83467500000.0,56036700000.0,6474600000.0,6011700000.0,6.06,4204700000.0,5866800000.0,150700000.0,94368500000.0,48499000000.0,9992900000.0,39624600000.0,10536100000.0,35412400000.0,39716700000.0,,37.00539,
WELSPUNLIV.NS,2023-03-31,71458800000.0,49369100000.0,6197100000.0,1988300000.0,2.02,4421400000.0,7559700000.0,148200000.0,86500800000.0,44171700000.0,9604600000.0,37564000000.0,9719500000.0,26669900000.0,40874800000.0,,37.00539,
WELSPUNLIV.NS,2024-03-31,86205900000.0,56539100000.0,5733200000.0,6811000000.0,7.06,3944900000.0,5328400000.0,96200000.0,95500400000.0,53168900000.0,12547000000.0,36598400000.0,8327100000.0,30960900000.0,45158100000.0,,37.00539,
WELSPUNLIV.NS,2025-03-31,94793100000.0,62335400000.0,6956900000.0,6391600000.0,6.7,3733900000.0,6879800000.0,96200000.0,103070700000.0,54685900000.0,16449300000.0,41782000000.0,8794200000.0,32528600000.0,48210900000.0,,37.00539,
WHIRLPOOL.NS,2025-03-31,79181500000.0,53163000000.0,6289700000.0,3590000000.0,28.3,2165700000.0,5710700000.0,634400000.0,67756100000.0,46276800000.0,5104200000.0,10098100000.0,,21760900000.0,39497800000.0,,33.538795,
WHIRLPOOL.NS,2024-03-31,68285900000.0,46571700000.0,5398000000.0,2170400000.0,17.11,2129000000.0,6101000000.0,634400000.0,61398600000.0,40250600000.0,3396500000.0,9810400000.0,,17688100000.0,36886000000.0,,33.538795,
WHIRLPOOL.NS,2023-03-31,66641400000.0,46623500000.0,5140900000.0,2190200000.0,17.26,1879100000.0,2696400000.0,634400000.0,59589800000.0,38732600000.0,4334400000.0,9471900000.0,,18975400000.0,35203700000.0,,33.538795,
WHIRLPOOL.NS,2022-03-31,61934500000.0,41915100000.0,5059800000.0,5663700000.0,44.64,1495600000.0,977700000.0,634400000.0,56865300000.0,35893500000.0,4297900000.0,9366700000.0,,17555500000.0,33581000000.0,,33.538795,
WHIRLPOOL.NS,2021-03-31,,,,,,,,,,,,,,,,,33.538795,
WIPRO.NS,2025-03-31,890884000000.0,617802000000.0,113787000000.0,131354000000.0,12.56,29579000000.0,169426000000.0,62750000000.0,1286520000000.0,777775000000.0,218360000000.0,106284000000.0,63954000000.0,286253000000.0,828309000000.0,,20.272373,
WIPRO.NS,2024-03-31,897603000000.0,631497000000.0,119755000000.0,110452000000.0,10.44,34071000000.0,176216000000.0,5218000000.0,1152459000000.0,650662000000.0,213117000000.0,99563000000.0,62300000000.0,252458000000.0,749883000000.0,,20.272373,
WIPRO.NS,2023-03-31,904876000000.0,645446000000.0,124296000000.0,113500000000.0,10.365,33402000000.0,130601000000.0,32814000000.0,1175822000000.0,661096000000.0,230478000000.0,107361000000.0,61272000000.0,267753000000.0,781164000000.0,,20.272373,
WIPRO.NS,2022-03-31,790934000000.0,555872000000.0,101317000000.0,122191000000.0,11.175,30911000000.0,110797000000.0,5467000000.0,1079182000000.0,620752000000.0,215066000000.0,109768000000.0,56463000000.0,308329000000.0,658158000000.0,,20.272373,
WIPRO.NS,2021-03-31,,,,,,,,,,,,,,,,,20.272373,
WOCKPHARMA.NS,2025-03-31,29150000000.0,11320000000.0,2540000000.0,-470000000.0,-3.02,2170000000.0,-220000000.0,,81350000000.0,25690000000.0,6610000000.0,22410000000.0,12110000000.0,20420000000.0,43530000000.0,,,
WOCKPHARMA.NS,2024-03-31,27890000000.0,11650000000.0,2300000000.0,-4630000000.0,-32.05,2230000000.0,2190000000.0,,76490000000.0,21840000000.0,6180000000.0,23180000000.0,8910000000.0,27910000000.0,33590000000.0,,,
WOCKPHARMA.NS,2023-03-31,26460000000.0,11110000000.0,2440000000.0,-5590000000.0,-38.79,2510000000.0,1530000000.0,,76830000000.0,22080000000.0,7970000000.0,24480000000.0,2240000000.0,34350000000.0,33540000000.0,,,
WOCKPHARMA.NS,2022-03-31,32100000000.0,12670000000.0,3280000000.0,-2440000000.0,-20.24,2470000000.0,4130000000.0,20000000.0,82430000000.0,25890000000.0,9180000000.0,28700000000.0,3550000000.0,32070000000.0,38490000000.0,,,
WOCKPHARMA.NS,2021-03-31,,,,,,,,10000000.0,,,,,,,,,,
YESBANK.NS,2025-03-31,168299614000.0,,668866000.0,24464926000.0,0.79,4933874000.0,63863986000.0,,4241159328000.0,,82909391000.0,30784049000.0,,,478324161000.0,,24.366667,
