Symbol,Sector,TATA_Z,DSRI_Z,AQI_Z,P_OCF_Z,PEG_Z,DuPont_Discrepancy_Z,Anomaly_Label,Anomaly_Score,PCA_1,PCA_2
3MINDIA,Diversified,0.2999355657387288,-0.6619458321188253,-1.0369471743813412,1.132089140924163,-1.1416543811920643,1.1543461832104869,1,0.03312427184213451,1.0913262300439235,-1.3835048362530857
AARTIIND,Chemicals,-0.8981801881823205,-0.7443999067466864,0.069926958624497,-0.6635945929818624,-0.2364834893944558,-0.6220041151951481,1,0.13311778821661857,-1.4009080440071775,-0.4920958010987201
ABBOTINDIA,Healthcare,0.5754858877877562,0.1398905508031457,-1.1431170796899268,-0.0783073806996712,-0.1317887730823485,0.4213524841649494,1,0.12380031264921049,0.3759151547516749,0.11656126014287052
ACC,Construction Materials,1.0574006420809847,1.09189682314591,0.8789520220390612,-0.3188675900067391,0.6597606061911494,-0.936636141132329,1,0.08787627678949345,0.33269936822388674,1.311763260413382
ACE,Capital Goods,-0.2404701017331357,1.3255642098856006,0.7059518202353414,-0.174758108511884,0.1402318531779703,-0.6265349058334047,1,0.12649288568710337,-0.13087906692049783,0.7134389747337909
ADANIENT,Metals & Mining,0.8724036809766358,-0.4517201169125567,-0.1590330895615281,1.8321750785371496,0.0573080040662194,-0.4456003438063139,1,0.10485452942883666,1.1333155403761959,0.06298917023625357
ADANIPORTS,Services,-0.2181606067827346,0.053775184929443,-0.2190137620593334,-0.3190543477403305,-0.1025219314424855,-0.454476274968504,1,0.16180487018777145,-0.5654125432030018,0.07287467492710688
AEGISLOG,Oil Gas & Consumable Fuels,1.8449440429764452,1.8054847744597728,0.0327867821471452,1.7394789790309555,-0.2297259383572297,-0.7007018507680078,1,0.03840141781876605,2.1293454895064374,1.039659153697272
AFCONS,Construction,0.3623046640020662,-0.3920008915257308,0.3599988048588206,-2.5427883950037047,1.694901100798432,-0.9608366823812254,1,0.02270178957705804,-1.7869246745676697,1.559372188751382
AGARWALEYE,Healthcare,-0.6398235603436534,-0.3121730932127778,0.1167773454103788,-0.2132254566081452,0.1642528200294102,-0.3053851512091064,1,0.15588745146136934,-0.724640950255631,-0.05024976268595563
AIAENG,Capital Goods,-0.4067959763593424,0.014943314754209,-0.7993937386285781,-0.1693357468613083,-0.6851694569354507,-0.4727821229757754,1,0.14673594955865815,-0.6839301283211967,-0.34629052997841425
AJANTPHARM,Healthcare,-0.4010570774510217,-0.9590155849932724,0.4320577976179091,-0.2421784957749513,-0.1269222610098441,0.0192697440219355,1,0.1453944856610198,-0.5522600425572567,-0.6834231692843298
AKZOINDIA,Consumer Durables,0.8057498194586772,-0.1578714514687875,-0.1485312939906886,0.2577585207318967,0.6446174327466442,3.1910066406597104,1,0.042482739561444105,2.1916059125024354,-0.34530100642708117
ALKEM,Healthcare,0.1200457404558472,0.0240346875218434,0.2766073994598663,-0.212729841329724,-0.1447433446558802,-0.1578990626090664,1,0.15440573602614283,-0.09345713232561133,-0.09633923950717142
ALKYLAMINE,Chemicals,-0.2630829854763674,-0.3030290630976118,3.477766780083703,-0.1025539297637822,0.2716685948895525,0.157602025616459,1,0.07556034959824676,0.2711714249835765,-0.6272299996949341
AMBUJACEM,Construction Materials,0.99785725887981,0.8757150952477878,1.0130423018901862,0.1342552148787295,-1.0411562147853726,-0.7477899061869725,1,0.07093424071822385,0.6372501247114136,-0.26908097737356
ANANTRAJ,Realty,1.5548997345892506,-0.0562585231663896,0.7958561786407558,0.8918603472613023,0.3722481072710116,-0.6985862795785978,1,0.07786692068006185,1.1081796331918605,0.5494132552409347
APARINDS,Capital Goods,-0.8063724852515143,-0.5804164740498005,0.3182686508810519,-0.1800776723737989,-1.4205276588849944,0.3070741433488298,1,0.0942105047859928,-0.49882631526805793,-1.6973691163575446
APLAPOLLO,Capital Goods,-1.0625338988982784,2.3465834306233258,0.6099562033373153,-0.1686156693258161,1.822016019716248,0.0282066697386442,1,0.014988164427165385,-0.035311839406993145,2.2195077315067735
APLLTD,Healthcare,0.5390782268149568,1.0558238008418026,-0.3565876878682237,0.6611322521265104,-0.2461475187571985,-0.1594963393913872,1,0.12808009763375405,0.8115504038402147,0.42805348507621876
APOLLOHOSP,Healthcare,-0.2841364410907476,-0.0491954509811442,0.0506382133449012,-0.1599499300248687,-0.1506493117230393,-0.1891700008661813,1,0.16256877806976555,-0.36495433067698757,-0.15391073638551517
APOLLOTYRE,Automobile and Auto Components,-0.4246094637737743,0.3192602865944956,-0.0998364173264377,-0.2785947055535887,-0.1849754113909849,-0.2467711277386902,1,0.1593103506362003,-0.4666737621542809,0.006617179496178038
ARE&M,Automobile and Auto Components,-0.675196201160492,-0.1244822584262967,-0.3873941431494388,-0.3495622701694992,2.0659622597794662,-0.2477418742259095,1,0.1144181109015705,-0.8429995165982873,1.645848081516656
ASAHIINDIA,Automobile and Auto Components,-0.874512566139659,0.6258212037911005,-0.5864629099172608,-0.1815748473511283,0.7109331728389892,-0.4057032381344446,1,0.124810669831812,-0.7591631287524114,0.9227386315436876
ASHOKLEY,Capital Goods,0.2812446492478273,-0.9256110101663676,-0.1709890365162132,1.7335198700683585,0.153873689879369,3.999899485425236,-1,-0.015814182140544975,2.932013196446208,-1.4604778630534827
ASIANPAINT,Consumer Durables,-0.3404443182471668,-0.4590597620878579,-0.2416563162451901,0.2936375788662739,-0.429802958549794,1.145840573999792,1,0.11469794310481163,0.4070068772487583,-0.9277965188756496
