Symbol,Sector,TATA_Z,DSRI_Z,AQI_Z,P_OCF_Z,PEG_Z,DuPont_Discrepancy_Z
3MINDIA,Diversified,0.2999355657387288,-0.6619458321188253,-1.0369471743813412,1.132089140924163,-1.1416543811920645,1.1543461832104867
AARTIIND,Chemicals,-0.8981801881823205,-0.7443999067466864,0.06992695862449702,-0.6635945929818624,-0.23648348939445582,-0.6220041151951481
ABBOTINDIA,Healthcare,0.5754858877877562,0.13989055080314572,-1.1431170796899268,-0.07830738069967125,-0.13178877308234854,0.42135248416494947
ACC,Construction Materials,1.0574006420809847,1.0918968231459099,0.8789520220390612,-0.31886759000673914,0.6597606061911494,-0.936636141132329
ACE,Capital Goods,-0.24047010173313577,1.3255642098856006,0.7059518202353414,-0.17475810851188409,0.14023185317797035,-0.6265349058334047
ADANIENT,Metals & Mining,0.8724036809766358,-0.45172011691255676,-0.15903308956152812,1.8321750785371496,0.05730800406621943,-0.44560034380631397
ADANIPORTS,Services,-0.21816060678273466,0.05377518492944309,-0.21901376205933346,-0.3190543477403305,-0.10252193144248559,-0.454476274968504
AEGISLOG,Oil Gas & Consumable Fuels,1.8449440429764454,1.8054847744597726,0.03278678214714522,1.7394789790309555,-0.2297259383572297,-0.7007018507680078
AFCONS,Construction,0.3623046640020662,-0.3920008915257308,0.35999880485882063,-2.5427883950037047,1.694901100798432,-0.9608366823812254
AGARWALEYE,Healthcare,-0.6398235603436534,-0.31217309321277786,0.1167773454103788,-0.21322545660814524,0.16425282002941025,-0.3053851512091064
AIAENG,Capital Goods,-0.40679597635934245,0.014943314754209031,-0.7993937386285781,-0.16933574686130834,-0.6851694569354507,-0.47278212297577543
AJANTPHARM,Healthcare,-0.4010570774510217,-0.9590155849932723,0.4320577976179091,-0.24217849577495137,-0.12692226100984416,0.019269744021935514
AKZOINDIA,Consumer Durables,0.8057498194586772,-0.1578714514687875,-0.14853129399068862,0.25775852073189676,0.6446174327466442,3.1910066406597104
ALKEM,Healthcare,0.12004574045584727,0.02403468752184348,0.27660739945986634,-0.21272984132972406,-0.14474334465588024,-0.1578990626090664
ALKYLAMINE,Chemicals,-0.2630829854763674,-0.3030290630976118,3.477766780083703,-0.10255392976378226,0.27166859488955253,0.15760202561645903
AMBUJACEM,Construction Materials,0.9978572588798099,0.8757150952477878,1.0130423018901862,0.13425521487872955,-1.0411562147853726,-0.7477899061869725
ANANTRAJ,Realty,1.5548997345892506,-0.056258523166389615,0.7958561786407558,0.8918603472613023,0.37224810727101165,-0.6985862795785978
APARINDS,Capital Goods,-0.8063724852515143,-0.5804164740498005,0.31826865088105194,-0.18007767237379893,-1.4205276588849944,0.3070741433488298
APLAPOLLO,Capital Goods,-1.0625338988982784,2.3465834306233258,0.6099562033373153,-0.16861566932581618,1.8220160197162476,0.028206669738644247
APLLTD,Healthcare,0.5390782268149568,1.0558238008418026,-0.3565876878682237,0.6611322521265104,-0.2461475187571985,-0.15949633939138727
APOLLOHOSP,Healthcare,-0.2841364410907476,-0.04919545098114424,0.05063821334490123,-0.15994993002486876,-0.15064931172303936,-0.18917000086618138
APOLLOTYRE,Automobile and Auto Components,-0.42460946377377434,0.3192602865944956,-0.09983641732643778,-0.2785947055535887,-0.18497541139098497,-0.2467711277386902
ARE&M,Automobile and Auto Components,-0.675196201160492,-0.12448225842629676,-0.3873941431494388,-0.3495622701694992,2.0659622597794662,-0.2477418742259095
ASAHIINDIA,Automobile and Auto Components,-0.874512566139659,0.6258212037911005,-0.5864629099172608,-0.18157484735112833,0.7109331728389892,-0.4057032381344446
ASHOKLEY,Capital Goods,0.2812446492478273,-0.9256110101663675,-0.1709890365162132,1.7335198700683585,0.15387368987936909,3.9998994854252357
ASIANPAINT,Consumer Durables,-0.3404443182471668,-0.4590597620878579,-0.2416563162451901,0.29363757886627395,-0.42980295854979406,1.1458405739997921
ASTERDM,Healthcare,6.350632125698411,-0.34286960453738363,2.5717818898210973,6.686158124360597,-0.16572542020402753,6.065046879173573
ASTRAL,Capital Goods,-0.517637507944949,0.2423346200390315,-0.39817496357395005,-0.07624982237770654,-2.4151089952853875,-0.2280442675634484
ASTRAZEN,Healthcare,0.2802138949567328,-0.7051057306668118,-0.22547898930669566,0.7951282638629376,-0.22885843684637908,-0.03128814896126177
ATGL,Oil Gas & Consumable Fuels,-0.028047784803743748,-0.3462715656096323,0.027792767687155925,3.2469645815678545,-0.5746248177656605,-1.311943769969545
ATUL,Chemicals,-0.0469798146291606,-0.0846310441538778,-0.6040487098471338,-0.3642934470387113,0.12327213405529969,-0.5167303044243876
AUROPHARMA,Healthcare,-0.0756054172714095,0.15847124554262615,-0.20096287664070628,-0.29589787044189464,-0.13600985185372083,-0.30677001879026516
BAJAJ-AUTO,Automobile and Auto Components,2.8509886500099912,-0.5771661307552545,-0.23249837760706327,-1.38109746161503,-1.03773009991046,0.5429370306754381
BALKRISIND,Automobile and Auto Components,-0.09633749323445685,-0.49452047065032906,-0.1455912908525129,-0.24370738393075925,0.287273306971685,-0.16325109209467298
BALRAMCHIN,Fast Moving Consumer Goods,-0.06282916601849722,0.10997411520981647,0.04589067826326187,-0.5272384982129107,-0.4094137136791848,-0.6006747465968086
BASF,Chemicals,0.6438284007491367,-0.37543577695237534,-0.4192039869044063,0.634060720436438,-0.34680725937088186,-0.32719268994394174
BATAINDIA,Consumer Durables,-1.7632448612634948,1.8524711796506759,1.1068572259929803,0.27459169637308245,-0.06457200075056402,1.36055140360628
BAYERCROP,Chemicals,1.390315314681742,-0.4179700624126348,-0.4262023356370938,0.9936907454127075,-0.13864739298314208,4.324325041124609
BBTC,Fast Moving Consumer Goods,-1.597140738971887,-0.32618632100300615,1.2654473602935459,-0.7252603544845159,-0.34280600674487044,0.11899409054588372
BDL,Capital Goods,0.227013513371923,3.1215807908307487,0.3588497048373441,0.4675920036624852,-1.0061905430723825,0.5693329215705
BEL,Capital Goods,1.388371936915074,0.023269739109361025,-0.20713990898072485,1.0074570979627695,0.19449430936995943,1.4847129411353832
BEML,Capital Goods,0.033264063744043705,0.6042926564975022,-0.2677045872695148,-0.03770304974575704,1.6424214178217493,-0.17818216653562582
BERGEPAINT,Consumer Durables,-0.07525081166880937,0.6252549091436354,-0.277497096137369,0.29199959222101285,3.7255490585850817,-0.05068710613560461
BHARATFORG,Automobile and Auto Components,-0.7204507011686724,-0.4115963987307048,-0.23697241100456393,-0.23040632903443056,-4.249487458799145,0.16796945044139353
BHARTIARTL,Telecommunication,0.16919650818934082,1.8157190299159072,-0.042647283666200915,-0.5645656468345168,0.261914887634073,-0.00010367715484864929
BHARTIHEXA,Telecommunication,0.08698276673943482,-2.072965667969497,0.3886365023862813,-0.4267450727314767,0.32616985038289614,-0.4751184307270635
BHEL,Capital Goods,-0.5653527621020719,-0.0949074389831994,-0.34387810146509884,-0.12821922189792623,0.262155936307873,-0.9673088866677068
BIKAJI,Fast Moving Consumer Goods,-0.02686053694145271,-1.0231399125617595,-0.9397518491799882,0.2527543464130985,-0.5222079886170018,-0.5911034795062807
